16/07/2019,Cropped first image in gallery',,,
16/07/2019,Added gallery pictures',,,
14/07/2019,Turned debug mode off',,,
14/07/2019,Tables clearing after changing capacity only affects tables after current time',,,
14/07/2019,Fixed alignment issues on homepage and made it so when a table capacity is changed,,, all tables assigned to that table are cleared'
13/07/2019,Changed price of carvery',,,
13/07/2019,Slight changes to home page',,,
13/07/2019,Added contact information to contact section',,,
13/07/2019,Added Festive Section to home page',,,
13/07/2019,Updated email to montgomerie email',,,
13/07/2019,Fixed alignment of today button',,,
13/07/2019,Added today button to create booking',,,
13/07/2019,Added prev/next day/week to create booking',,,
13/07/2019,Bookings pages require login to view',,,
13/07/2019,Removed recalibrate in view',,,
12/07/2019,Changed title for homepage',,,
12/07/2019,Changed layout for opening times',,,
12/07/2019,Possible fix for 500 server error',,,
12/07/2019,Disabled Debug Mode',,,
12/07/2019,Fixed form post',,,
12/07/2019,Added booking taker names under input',,,
12/07/2019,Removed test email button',,,
12/07/2019,Changed Booking System in Nav to redirect to bookings page',,,
12/07/2019,Fixed home page',,,
12/07/2019,Changed bookings page to /bookings',,,
12/07/2019,Added functionality for contact us form',,,
12/07/2019,Changed margins for promo box to fit better on mobile',,,
12/07/2019,Added more to homepage',,,
11/07/2019,Few changes to homepage',,,
10/07/2019,Started design for main homepage',,,
09/07/2019,Fixed bug that possibly deleted wrong history data due to delay',,,
09/07/2019,Bookings are no longer automatically assigned a table,,, created modal for easy table allocation'
09/07/2019,Increased size of datepicker',,,
09/07/2019,Moved cap at time to underneath time input',,,
08/07/2019,Fixed all datepickers',,,
08/07/2019,Moved datepicker function within ajax call',,,
08/07/2019,Extended timeout for datepicker input',,,
08/07/2019,Added delay to enabling datepicker input to prevent bug',,,
08/07/2019,Added another possible fix for datepicker bug',,,
08/07/2019,Moved datepicker onclick/oninput within document ready function to prevent not displaying ui bug',,,
08/07/2019,Moved showing of datepicker to test bug fix',,,
08/07/2019,Datepicker input shows when document is ready to prevent ui not showing and changed container to fluid',,,
08/07/2019,Made adjustment to datepicker in create page',,,
08/07/2019,Moved position of number of people in create page',,,
08/07/2019,Slight redesign to create booking page',,,
08/07/2019,Fully implemented new create booking page and made a lot of QOL improvements',,,
07/07/2019,Moved elements in create page',,,
07/07/2019,Added delete alert to main page',,,
07/07/2019,Alerts can be updated from main page',,,
07/07/2019,Create booking page created - not implemented',,,
07/07/2019,Fixed scroll button not showing and disabled readonly for datepicker as a temporary workaround for datepicker not showing',,,
